year,region,province_code,province,canton_code,canton,added_value,product_tax,gdp_2022,exports_2022,imports_2022,population,gdp_pc,exports_pc,imports_pc,trade_balance,gdp_2019,exports_2019,imports_2019,gdp_growth,exports_growth,imports_growth,gdp_growth_cat
2022,Huetar Caribe,7,Limon,706,Guacimo,214244.43,9145.97,223390.4,81578.14,25240.94,49606,4.503293956376245,1.6445216304479298,0.5088283675361851,56337.2,160263.88,58030.80003,23106.88,0.3938911250619914,-0.49097613261328754,0.09235604287554172,Strong
2022,Huetar Norte,2,Alajuela,215,Guatuso,45027.48,2298.02,47325.5,200.9,970.11,18316,2.5838338065079713,0.010968552085608211,0.05296516706704521,-769.21,53257.17,274.0609938,1649.46,-0.11137786705527158,-0.9962277379740605,-0.41186206394820124,Recession
2022,Central,4,Heredia,401,Heredia,2447629.35,143403.37,2591032.72,774946.11,736138.7,131901,19.64376858401377,5.875210271339869,5.580994078892503,38807.41000000003,2079965.5,734512.4565,565426.34,0.24570946970033888,-0.6274235750544902,0.30191794743768036,Strong
2022,Chorotega,5,Guanacaste,511,Hojancha,28857.67,1694.46,30552.12,116.21,0.0,8224,3.7149951361867704,0.014130593385214007,0.0,116.21,20717.08,75.60056439,111.03,0.4747309949085487,-0.9943906187551528,-1.0,Strong
2022,Central,3,Cartago,304,Jimenez,109774.44,6154.83,115929.27,2241.72,730.04,18710,6.196112773917691,0.11981400320684125,0.039018706574024585,1511.6799999999998,89323.43,1130.073536,874.67,0.2978595873445524,-0.9749033372318998,-0.16535379057244445,Strong
2022,Chorotega,5,Guanacaste,510,La Cruz,82365.79,6708.61,89074.4,37186.68,2437.08,26829,3.3200790189720077,1.3860628424466064,0.09083752655708376,34749.6,89781.3,20750.1404,7126.75,-0.00787357723713077,-0.585808180545392,-0.6580376749570281,Recession
2022,Central,3,Cartago,303,La Union,555243.06,79148.05,634391.12,52717.98,73928.13,99539,6.373292076472539,0.5296213544439868,0.7427051708375612,-21210.15,634885.67,40920.88605,58209.92,-0.0007789591470855635,-0.9169646087617634,0.27002631166646524,Recession
2022,Central,1,San Jose,120,Leon Cortes Castro,84110.25,4276.34,88386.58,0.0,182.11,13553,6.5215509481295655,0.0,0.013436877444108316,-182.11,70490.97,100.9159952,1953.37,0.25387095680482197,-1.0,-0.9067713745987702,Strong
2022,Chorotega,5,Guanacaste,501,Liberia,936506.97,69042.44,1005549.41,8456.8,30909.05,80130,12.54897553974791,0.1055384999376014,0.38573630350680144,-22452.25,741809.9,6018.776668,24904.98,0.3555351714772208,-0.98859977468621,0.24107909341826414,Strong
2022,Huetar Caribe,7,Limon,701,Limon,443748.37,22905.9,466654.27,106134.27,1755326.6,116457,4.007095065131336,0.9113601586851799,15.072744446448047,-1649192.33,489590.93,123904.5013,1163511.5,-0.04684862115399069,-0.7832184717964444,0.5086456816284154,Recession
2022,Huetar Norte,2,Alajuela,214,Los Chiles,106246.85,3545.11,109791.95,38123.36,10.81,34701,3.163941961326763,1.098624247139852,0.0003115184000461082,38112.55,119393.02,10650.78156,212.74,-0.08041567254099115,-0.6806902112033015,-0.9491868007896963,Recession
2022,Huetar Caribe,7,Limon,705,Matina,180214.38,4769.17,184983.56,20895.5,1358.91,45329,4.080909792847845,0.46097421077014716,0.029978821504996804,19536.59,192647.34,27512.83289,6034.14,-0.03978139537249774,-0.8915349674695742,-0.7747964084359992,Recession
2022,Central,1,San Jose,115,Montes de Oca,1288742.97,61586.84,1350329.81,20311.0,31434.41,53862,25.07017581968735,0.37709331253945266,0.5836101518695926,-11123.41,1072029.85,4561.224716,26154.47,0.2596009430147863,-0.9810536992043645,0.20187524350522104,Strong
2022,Pacifico Central,6,Puntarenas,604,Montes de Oro,74852.75,6061.34,80914.09,243.13,556.15,16395,4.935290637389448,0.01482952119548643,0.03392192741689539,-313.02,66310.21,905.1461994,3064.0,0.2202357676140671,-0.9963334454829806,-0.8184889033942558,Strong
2022,Central,1,San Jose,107,Mora,215767.71,11633.49,227401.2,9281.52,8460.49,32348,7.0298380116235935,0.2869271670582416,0.2615459997526895,821.0300000000007,144079.26,7320.156161,7664.68,0.5783062739217288,-0.9355804575898017,0.10382820939686972,Strong
2022,Central,1,San Jose,114,Moravia,369709.95,27285.95,396995.9,29581.96,48529.34,59546,6.667045645383402,0.4967917240452759,0.8149890840694588,-18947.379999999997,373544.61,17960.03833,38901.39,0.06278042668049752,-0.92080742377731,0.24749629769013387,Strong
2022,Chorotega,5,Guanacaste,509,Nandayure,38337.61,2539.45,40877.06,2562.52,340.07,11874,3.4425686373589355,0.2158093313121105,0.028639885464039075,2222.45,38137.29,3318.208695,145.62,0.07183966139177683,-0.9328080207062432,1.3353248180195028,Strong
2022,Central,2,Alajuela,206,Naranjo,157319.43,15450.62,172770.04,5425.3,18542.34,46647,3.7037760198940983,0.11630544300812486,0.3975033764229211,-13117.04,173631.8,3637.744158,16416.91,-0.004963146151799268,-0.9687539955238614,0.12946589827196472,Recession
2022,Chorotega,5,Guanacaste,502,Nicoya,267443.79,15460.8,282904.59,10014.77,2426.91,66268,4.2690980563771355,0.15112527916943322,0.03662265346773706,7587.860000000001,227247.45,13049.40906,2939.72,0.244918655852904,-0.955930110546895,-0.17444178357122447,Strong
2022,Central,3,Cartago,307,Oreamuno,141189.39,8754.65,149944.03,19969.77,22176.32,48911,3.065650467175073,0.4082879106949357,0.4534014843286786,-2206.5499999999993,144580.95,8136.078935,7575.39,0.037093960165568055,-0.8618782764949324,1.9274162782378201,Recession
2022,Pacifico Central,2,Alajuela,209,Orotina,93817.59,7394.6,101212.19,8578.18,18840.51,24217,4.1793859685345005,0.35422141470867574,0.7779869513151917,-10262.329999999998,85565.26,716.9338422,575.07,0.18286545263813853,-0.8997469300040694,31.762115916323225,Strong
2022,Brunca,6,Puntarenas,605,Osa,163697.75,11870.47,175568.22,0.68,560.09,36088,4.865002771004212,1.8842828641099534e-05,0.015520117490578586,-559.4100000000001,133941.77,2426.083793,844.57,0.3107801994851943,-0.9999949231669852,-0.33683412860982515,Strong
2022,Central,2,Alajuela,207,Palmares,188639.0,19532.53,208171.53,15125.18,37845.67,39148,5.31755210994176,0.38635894554000205,0.9667331664452845,-22720.489999999998,172199.84,14587.43357,32071.84,0.20889502568643503,-0.9121649590382895,0.18002802458480704,Strong
2022,Central,3,Cartago,302,Paraiso,271369.6,18899.2,290268.81,34993.01,9432.93,65941,4.401947346870688,0.530671509379597,0.14305106079677288,25560.08,262976.56,31144.71426,15186.77,0.10378206331393186,-0.8669348705451162,-0.3788718733476572,Strong
2022,Pacifico Central,6,Puntarenas,609,Parrita,95952.5,5416.52,101369.01,10545.51,6165.49,20068,5.051276161052422,0.5254888379509667,0.3072299182778553,4380.02,73332.25,14225.61183,1126.54,0.3823251025299237,-0.8561954665239373,4.472943703730005,Strong
2022,Brunca,1,San Jose,119,Perez Zeledon,651335.32,40783.74,692119.06,16693.34,9918.3,156917,4.4107334450696865,0.10638324719437664,0.06320730067487908,6775.040000000001,530636.96,13021.31474,8462.87,0.30431747536017867,-0.9685409399300041,0.17197830050562024,Strong
2022,Central,2,Alajuela,208,Poas,155310.54,11514.37,166824.91,3401.11,6305.89,36207,4.6075319689562795,0.0939351506614743,0.17416217858425168,-2904.78,155496.41,5430.652772,4312.15,0.07285377199383573,-0.9781274049992538,0.46235404612548286,Strong
2022,Huetar Caribe,7,Limon,702,Pococi,730531.53,58600.55,789132.09,530020.74,312992.15,146320,5.3931936167304535,3.6223396664844176,2.139093425369054,217028.58999999997,752750.2,439339.7271,120043.62,0.04833195660393051,-0.29588761318163714,1.6073201557900372,Strong
2022,Pacifico Central,6,Puntarenas,601,Puntarenas,770143.35,63322.23,833465.58,190247.03,352865.41,141697,5.882027001277374,1.3426327304036076,2.4902814456198787,-162618.37999999998,655316.77,127987.7269,253651.61,0.2718514436918804,-0.709686919808263,0.39114200773257457,Strong
2022,Central,1,San Jose,104,Puriscal,118748.53,12626.67,131375.2,1432.01,7831.85,38525,3.410128487994809,0.037170927968851394,0.2032926670992862,-6399.84,128413.59,1491.937754,3368.0,0.02306305742250501,-0.9888484544353912,1.325371140142518,Moderate
2022,Pacifico Central,6,Puntarenas,606,Quepos,202387.9,15422.56,217810.45,24329.68,3950.67,32416,6.719226616485686,0.750545409674235,0.12187407453109576,20379.010000000002,195433.65,17555.24174,5856.41,0.1144981941441508,-0.8755092585130555,-0.325410959956697,Strong
2022,Huetar Norte,2,Alajuela,216,Rio Cuarto,53378.52,3185.75,56564.26,35603.21,6179.37,14418,3.923169649049799,2.4693584408378415,0.42858718268830626,29423.84,50122.46,7785.113658,19388.34,0.12852122581373707,-0.28967552670000635,-0.6812842151519934,Strong
2022,Huetar Norte,2,Alajuela,210,San Carlos,1132859.84,77474.3,1210334.15,444837.21,64387.69,198742,6.089976703464793,2.2382647351843095,0.32397626067967517,380449.52,1058499.96,265331.9708,59418.18,0.14344279238328922,-0.5797475419838467,0.08363618676977319,Strong
2022,Central,4,Heredia,406,San Isidro,128706.93,8073.55,136780.48,1458.02,2711.92,22806,5.997565552924669,0.06393142155573095,0.11891256686836797,-1253.9,121372.1,584.0578721,2856.71,0.1269515811294359,-0.9879871898072127,-0.050684178653065924,Strong
2022,Central,1,San Jose,101,San Jose,7306389.76,755544.22,8061933.97,1229599.81,3812299.42,352381,22.87845817453268,3.489404394675082,10.818686081258637,-2582699.61,6699198.61,884942.5279,3234484.47,0.2034176681918077,-0.8164556864809835,0.17864205420037144,Strong
2022,Pacifico Central,2,Alajuela,204,San Mateo,19891.59,946.35,20837.94,229.82,88.45,6952,2.9974021864211737,0.033058112773302645,0.012722957422324512,141.37,29400.41,38.5413196,75.01,-0.2912364147302708,-0.9921831022084386,0.17917610985201968,Recession
2022,Central,4,Heredia,409,San Pablo,202969.71,19711.84,222681.55,6720.96,8562.55,29860,7.45752009377093,0.22508238446081716,0.28675653047555255,-1841.5899999999992,191606.23,23.02406337,2831.05,0.16218324425046082,-0.9649230612177903,2.0245138729446666,Strong
2022,Central,4,Heredia,405,San Rafael,338758.36,13451.67,352210.03,60.0,8396.64,48848,7.210326523092041,0.0012283000327546676,0.1718932197838192,-8336.64,220015.0,303.5409035,8889.42,0.6008455332590961,-0.9997272913210463,-0.05543443779234198,Strong
2022,Central,2,Alajuela,202,San Ramon,368474.98,22311.59,390786.57,23743.29,23188.57,93264,4.190111618630983,0.25458151055069483,0.24863366357865843,554.7200000000012,388749.32,23149.51239,23662.56,0.0052405236361571,-0.9389239060276685,-0.020031222319140514,Slow
2022,Central,1,San Jose,109,Santa Ana,1936141.14,87228.85,2023369.99,22973.67,171383.75,58020,34.87366408135126,0.39596122026887276,2.9538736642537056,-148410.08000000002,1665929.05,2151.482676,31275.47,0.2145595216074778,-0.9862096948246386,4.479813732615369,Strong
2022,Central,4,Heredia,404,Santa Barbara,133862.63,7555.59,141418.22,4128.17,8920.32,39133,3.6137842741420285,0.10549076227225104,0.2279487900237651,-4792.15,108163.25,4016.26916,9989.81,0.30745165294127164,-0.961833894599136,-0.10705809219594765,Strong
2022,Chorotega,5,Guanacaste,503,Santa Cruz,379229.04,30895.79,410124.83,700.59,6772.88,72366,5.667369068347014,0.009681203880275269,0.09359201835115939,-6072.29,340089.97,405.874316,6898.84,0.20593038953780393,-0.9979399862924507,-0.01825814194850149,Strong
2022,Central,4,Heredia,403,Santo Domingo,592332.52,62024.32,654356.84,101385.33,105250.97,45932,14.246208307933466,2.207291866237046,2.291451928938431,-3865.6399999999994,447680.24,14402.91474,48372.69,0.46166120711514985,-0.7735318181566379,1.175834546311152,Strong
2022,Huetar Norte,4,Heredia,410,Sarapiqui,281643.64,13364.78,295008.42,150359.92,7549.24,67153,4.393078790225307,2.2390648221226157,0.11241850699149702,142810.68000000002,297728.62,122805.3103,11436.59,-0.009136508273877101,-0.494976599831081,-0.3399046394073758,Recession
2022,Central,2,Alajuela,212,Sarchi,105961.17,5329.66,111290.82,17523.68,2362.67,21562,5.1614330767090255,0.8127112512753919,0.10957564233373528,15161.01,81100.91,11685.28682,2741.88,0.372251186823921,-0.7839274553146198,-0.13830291624724642,Strong
2022,Huetar Caribe,7,Limon,703,Siquirres,429138.2,28229.42,457367.62,74828.72,101957.39,63765,7.172706343605426,1.1735077236728613,1.5989553830471261,-27128.67,350219.97,59942.94987,70138.41,0.30594386151081,-0.7863379406948153,0.45365984201808957,Strong
2022,Huetar Caribe,7,Limon,704,Talamanca,158243.68,10823.04,169066.72,1257.38,161.84,48906,3.456972968551916,0.025710137815400977,0.0033092054144685723,1095.5400000000002,142372.65,2643.989796,327.78,0.18749436777358577,-0.9911683880295828,-0.5062541948868142,Strong
2022,Central,1,San Jose,105,Tarrazu,97001.33,4426.07,101427.4,35897.34,1227.08,17810,5.694969118472768,2.0155721504772597,0.0688983717012914,34670.259999999995,69589.15,24464.3685,2119.15,0.45751744345203244,-0.4841532049177207,-0.4209565155840786,Strong
2022,Central,1,San Jose,113,Tibas,560040.27,50596.95,610637.22,27682.58,67344.95,74592,8.186363416988417,0.3711199592449593,0.9028441387816387,-39662.369999999995,490551.89,16385.9653,33874.93,0.24479638637209197,-0.9435684979217999,0.9880469125692657,Strong
2022,Chorotega,5,Guanacaste,508,Tilaran,180603.95,10271.64,190875.59,80.04,2151.58,21232,8.989995761115297,0.0037697814619442353,0.10133666164280332,-2071.54,221739.58,856.2988794,3204.5,-0.13919026093582387,-0.9996390360259544,-0.32857544078639417,Recession
2022,Central,3,Cartago,305,Turrialba,321369.36,33518.69,354888.05,30180.71,10747.03,82065,4.324475111192347,0.36776591726070795,0.13095753366234084,19433.68,323785.65,22539.90045,11297.57,0.09605861161543126,-0.9067879938471639,-0.04873083326768492,Strong
2022,Central,1,San Jose,116,Turrubares,17122.98,524.88,17647.86,3.49,158.17,6173,2.8588789891462825,0.000565365300502187,0.02562287380528106,-154.67999999999998,14900.61,0.0,105.96,0.18437164652990715,-0.9997657814008957,0.49273310683276705,Strong
2022,Huetar Norte,2,Alajuela,213,Upala,167223.81,8033.46,175257.28,21823.33,52.33,57361,3.055338644723767,0.3804558846603093,0.0009122923240529279,21771.0,162947.46,23845.58213,389.15,0.07554471852460914,-0.8660713704896045,-0.8655274315816524,Strong
2022,Central,1,San Jose,111,Vazquez de Coronado,303429.4,20871.18,324300.59,1266.33,22825.15,67078,4.834678881302365,0.018878469841080533,0.340277736366618,-21558.82,296535.55,1174.932238,21019.34,0.09363140439653876,-0.9957295845304214,0.08591183167501935,Strong
2022,Central,2,Alajuela,211,Zarcero,106442.63,5650.65,112093.28,3575.43,1589.91,15153,7.397431531709892,0.23595525638487427,0.10492377746980797,1985.5199999999998,86765.71,1261.601729,1471.73,0.2919075980591871,-0.9587921311310655,0.0803000550372691,Strong
