Año,Región,Código provincia,Provincia,Código Cantón,Cantón,  Valor Agregado , Impuestos a los producto , PIB , Exportaciones , Importaciones 
2019,Chorotega,5,Guanacaste,504,Bagaces,"157,730.23","8,225.69","165,955.92",515.4255593,580.51
2019,Chorotega,5,Guanacaste,505,Carrillo,"217,606.26","18,354.73","235,960.99",13344.27028,"6,446.62"
2019,Chorotega,5,Guanacaste,506,Cañas,"142,173.78","7,213.92","149,387.70",34109.60898,"21,064.86"
2019,Chorotega,5,Guanacaste,507,Abangares,"91,318.14","11,353.53","102,671.67",9484.284904,"8,735.31"
2019,Chorotega,5,Guanacaste,508,Tilarán,"210,704.92","11,034.66","221,739.58",856.2988794,"3,204.50"
2019,Chorotega,5,Guanacaste,509,Nandayure,"36,594.31","1,542.98","38,137.29",3318.208695,145.62
2019,Chorotega,5,Guanacaste,510,La Cruz,"83,833.02","5,948.29","89,781.30",20750.1404,"7,126.75"
2019,Chorotega,5,Guanacaste,511,Hojancha,"19,749.24",967.84,"20,717.08",75.60056439,111.03
2019,Pacífico Central,6,Puntarenas,601,Puntarenas,"614,496.20","40,820.57","655,316.77",127987.7269,"253,651.61"
2019,Pacífico Central,6,Puntarenas,602,Esparza,"108,756.26","11,270.55","120,026.81",66284.84648,"113,715.06"
2019,Brunca,6,Puntarenas,603,Buenos Aires,"111,310.99","2,484.12","113,795.11",144.8354165,482.06
2019,Pacífico Central,6,Puntarenas,604,Montes de Oro,"61,797.49","4,512.72","66,310.21",905.1461994,"3,064.00"
2019,Brunca,6,Puntarenas,605,Osa,"126,102.46","7,839.31","133,941.77",2426.083793,844.57
2019,Pacífico Central,6,Puntarenas,606,Quepos,"180,407.71","15,025.95","195,433.65",17555.24174,"5,856.41"
2019,Brunca,6,Puntarenas,607,Golfito,"164,607.29","10,318.93","174,926.22",281.491627,"22,881.50"
2019,Brunca,6,Puntarenas,608,Coto Brus,"110,566.05","4,151.20","114,717.25",235.5887024,"1,085.72"
2019,Pacífico Central,6,Puntarenas,609,Parrita,"70,236.75","3,095.50","73,332.25",14225.61183,"1,126.54"
2019,Brunca,6,Puntarenas,610,Corredores,"157,783.03","4,934.00","162,717.03",87939.30236,"10,787.23"
2019,Pacífico Central,6,Puntarenas,611,Garabito,"161,245.35","15,770.82","177,016.17",1449.883956,"5,565.30"
